"","Date","Market","金融行业","房地产","机械行业","有色金属","农林牧渔","电子信息","酒店旅游","家电行业","汽车制造","发电设备","水泥行业","生物制药","电子器件","酿酒行业","环保行业","钢铁行业","化纤行业","飞机制造","农药化肥","传媒娱乐","综合行业","食品行业","煤炭行业","建筑建材","商业百货","仪器仪表","化工行业","交通运输","电力行业","石油行业","物资外贸","塑料制品","船舶制造","服装鞋类","其它行业","开发区","供水供气","NaN","印刷包装","医疗器械","公路桥梁","电器行业","家具行业","次新股","玻璃行业","MOM","vol_volatility_1m","volatility_1m","pe","circ_mv","dv_ratio","shibor_1m","shibor_6m","libor_1m","libor_6m","shibor_lpr_1y","benchmark"
"1","2014-02-28",-0.0800174453499883,-0.0200198716775966,-0.681229818758927,-0.020737269000134,-0.0513270319645457,0,0.0519264357011616,0,0.0249015876239137,-0.051116503857804,0.0323550120962238,0.132137411775007,-0.0644234047502528,0.080956495082502,0.0295272910420289,0,0.0315078451883014,0.0793239462309496,-0.0179388512608987,-0.016908538598948,0.0288317927952181,0.0398225996942203,0,0.0247918430009573,0.0172970091948329,-0.0070463504702375,-0.0164503883509543,0.0193617391143108,0.00292050992842306,0.0545023229841964,0.0464752146434699,-0.0182437677712501,0.0360630733404919,0.0122419323024615,-0.0112979133342728,0.00634369724081415,0.0669547381030668,0.0239071943543218,0.16043965529078,0.0235882745169176,-0.00261142796430463,0,-0.0787828796051841,0,0,0.0319563961207393,-0.0265645642155775,0.000598320913027567,-0.0181507374924371,0.00269729609142942,-0.0610976135901586,0.00788051568734786,0.0144896778527284,-0.0182628645750358,-0.0473973992646952,0.0503902819235636,-0.0143697818119108,0.011542
"2","2014-03-31",0.129656393366664,0.0124331060195886,1.55144431988294,0.0138842458072421,-0.0871497910862257,0,-0.0225892239654262,0,-0.00728618467642628,-0.052396520069644,-0.0540598180750767,-0.0397475868656441,0.0045326957345229,0.00267287939517315,-0.0384588636583372,0,-0.0877163161402634,-0.0313673692162886,-0.148596629466008,-0.0748443512575933,0.000268996358226735,-0.196209764024885,0,-0.032372736148075,-0.0234006668769291,-0.0813206114944478,0.00139987096362289,-0.0121542985247307,-0.0300068503241783,-0.00514640064330221,-0.0205781584969369,-0.0686973887262497,-0.127447027624758,-0.0557381174543241,-0.0837486074432834,-0.0431552395316174,-0.0270347663876947,-0.0766891947832851,-0.0760521513997755,-0.0125509913100882,-0.0104734498956284,0,0.0324045879904359,0,0,0.00794837341537242,-0.00718776991818715,0.0624997027634431,-0.0531305774627926,0.0244101963982371,-0.0443008593484274,0.00236523840332659,0.0352792995175105,-0.110761903966122,0.0326644776089229,-0.123220661414617,-0.0834869435747123,-0.00263
"3","2014-04-30",-0.130534867563407,-0.0727155613417902,0.00416771440621167,0.0215453312515019,0.0979302636046333,0,0.00501299096090363,0,-0.00390729766499887,-0.00182136886938712,0.0262303094121748,0.0361168396266931,-7.32928313063155e-05,-0.0259743752137213,-0.0252704487890593,0,0.027368610029494,0.00226246139649766,-0.0360513436338052,0.0229124832903666,-0.0208720962718845,0.00745928341737626,0,0.0133027747897077,-0.0071335225782231,0.00855520099436915,0.0013817612906916,0.0536929687617108,0.00275128045967197,-0.0161750212197907,0.0108518980262063,-0.00205179625658822,0.010169012728058,0.0159103499766526,0.00192322930349505,-0.0417357022311497,0.0466019330415949,0.0081397337220821,-0.0138466139406121,-0.0160203485445751,-0.128609334797087,0,-0.0517546417548463,0,0,0.0397263354487323,0.00209901149358488,0.00457863568507904,-0.0177776475743143,0.0235202893880285,-0.0434063011488718,0.00958602470299138,-0.204518296684231,0.204181147379964,0.155400707118973,-0.31051151572435,-0.0770065658776706,8.8e-05
"4","2014-05-30",-1.15653905225257,-0.00203161056970292,0.393240521970675,-0.0190822388390122,0.104041064155443,0,-0.00501746223694145,0,-0.146664253781578,0.00877842286670818,0.0212714842278507,0.0251084110133227,-0.018840672534124,-0.0108857033564829,0.0841823015469143,0,-0.0710998416126106,0.0172038789503034,0.026181076571115,-0.0160212306963362,-0.0484328018911259,-0.0291087915700641,0,0.0120215514941002,0.0259549806531711,-0.0140120564563223,0.0133011192453765,-0.075602734725847,-0.0721268740889641,0.0891274143499001,0.0129260943038167,0.00195350190181237,0.0189626474720659,0.0618805863826573,-0.0392090279437774,0.00424018607322906,0.0612511328836496,-0.00687805845021814,-0.354900185564285,-0.00326248770156509,-0.00671553540315664,0,-0.0557574639616686,0,0,0.0140226553216709,-0.0218263602619284,-0.0267098965558315,0.0141929190462885,0.0525913738633589,-0.0854247707362617,0.0167861751516951,0.136673057558681,1.47354548243353,-1.33681093048131,0.72729043836441,-0.888255099615101,0.000603
"5","2014-06-30",-0.0509664476387268,0.0592273941186332,-1.18025324018854,0.0548891944683109,0.124078412690922,0,-0.0318479436330327,0,0.0476323367871478,0.0424768806535624,0.0190746700044601,0.0636457185902982,0.0402758663099822,0.0166526279292192,0.00826283004647204,0,0.0685172283427161,0.00524050080078857,0,-0.114368697995905,0.0201518003424223,0.0520760810111711,0,0.0559715904437361,0.0270556571710141,0.029770076786194,0.0466028254535955,0.0696252774393278,-0.00810283775243968,0.0140291046564772,0.118046650624488,0.00986539264598573,0.0248166034514199,0.0278375700720144,0.0254859440838377,0.047265556704489,-0.0557161726647551,0.0623357785405402,0.0515508168941089,0.00658563043998263,0.00216660073191272,0,-0.0390425088435303,0.0615124983193019,0,0.126606284523666,0.000842549353119424,0.0218778928037517,-0.0396211347516052,-0.0168153687199618,-0.0335971812856759,0.00750695982210468,0.078583564215984,-0.143640536332157,-0.082934440196033,0.0610958893261239,0.0253993520210634,0.006911
"6","2014-07-31",-0.00664047099173948,-0.00494020290100709,-0.0805648305094592,0.00923635312887887,-0.040749087797344,0,-0.00149441675817165,0,0.0140828347362352,0.0265535527397362,0.00666230874628008,-0.0141424171520555,0.0067890278081879,-0.020679683252586,0.0120939099030862,0,-0.00768939698087801,0.00828085038613493,0,0.0119418183136587,0.0046542895549499,-0.0104240337859588,0,-0.000369884450717644,0.00724069219523117,0.00609076635518441,0.00216544662301135,-0.0259198923310175,0.0127448033197381,-0.0100968510892013,-0.0402605507014726,0.0810454306263393,-0.0108113156233073,0.0104747574474217,0.0418433168213092,0.0217449898333701,-0.0135567606828767,-0.0152810082043814,0.0117809748291978,-0.0346583845279596,0.0216974867544194,0,0.0257156505045003,0.00274104253618571,0,-0.0139415864146622,-0.022041961040256,-0.00429554369160676,-0.00260819541144503,0.016154105875617,-0.0171978075785227,0.00606697187000188,-0.0575241757915539,0.183124304009057,0.105213556785285,-0.0176674152897665,-0.0483686891177674,0.012162
"7","2014-08-29",0.0514611106228444,-0.0472031476410483,0.285928103321229,-0.0106915620040905,-0.00482241502561485,0,0.0274863544984132,0,-0.00882958447840384,-0.00814609327964265,-0.0122793379629028,-0.0240741162636776,0.00147764937864727,0.0398589600255961,-0.00597080652999387,0,-0.00588845214619902,0.0171775460528589,0,-0.105619337208819,-0.0215651056401947,-0.0109289048426218,0,0.0107157162914087,-0.0150679748095703,-0.0219117898890096,-0.0264091031058383,-0.0903812306012058,-0.0108671173358626,0.00574101539381809,-0.0132513677544714,0.0141275269101115,-0.0330748686646796,-0.0480587122543085,-0.00922809287018713,-0.0330179148330432,-0.00229970279975225,0.227396838191394,-0.0237999174873935,-0.0803167494273406,0.00351467180040206,0,-0.0598896123676022,0.113143100486719,0,-0.012974465127123,0.0176006919040773,0.0158682255164613,-0.0258844440592122,-0.00987992607706121,-0.0467378903828458,-0.00826034551846706,-0.0190142979520358,0.0591280702222291,0.197021194998407,-0.294020922669491,-0.169237378791889,0.011686
"8","2014-09-30",0.0250990863559782,-0.0598793164716088,1.05867745907428,-0.0244189102351902,0.0609621636258848,0,-0.0322973513336505,0,-0.0351420471179925,-0.0377651696436847,-0.0167647444162921,-0.0332095735022624,0.00825102693220392,-0.0432397172339751,-0.0270083848459479,0,-0.0735498315035607,-0.0353789755117799,0,-0.0647036154871242,-0.0346059174140753,-0.041218277870217,0,-0.0345116519725204,-0.0407188857356599,-0.0070745409216369,-0.0228960850494906,0.0336098260008917,-0.0318076317944226,-0.0147690146162945,-0.03878383940574,-0.0135778497557483,-0.0348927334006201,-0.0448034088683643,-0.0114353291616664,-0.0330037508248975,-0.0429987534003327,-0.0701384854301273,0.00902397665225585,-0.0387113809465039,-0.00253536552423075,0,-0.0265080843247464,-0.0288905462461192,0,-0.0732852823190303,0.00617809298163549,-0.000849016020095289,0.000130952220856114,-0.021419448569577,-0.0338693032960758,-0.00309692169797108,0.0737674288220211,-0.21426700542868,0.038548235457376,0.0242553860985763,0.181959413305952,0.001303
"9","2014-10-31",0.168690643266295,0.241011962500026,-0.925425537075156,-0.00704498772198931,0.0534791059078294,0,0.0267104818934868,0,0.111981578937846,0.00194699111264369,0.00788417526276734,0.0314490858471304,0.0931412197143999,-0.0660187420195973,0.00873676081429033,0,0.151581994037273,-0.00648237649364746,0,0.0185757439959599,-0.0173274431159926,0.00571397647185956,0,0.0229959026102357,0.0477301353563203,0.0278252541404861,-0.0404704255602873,-0.013696844458861,0.0225322818154824,-0.0175940675168279,-0.0281851805053834,-0.0431921723102782,0.0950087443884905,0.0401446791039983,-0.00739495488650829,0.0551873394674829,0.079849015547716,0.00773964217731543,0.0525758852675145,0.114769496371682,-0.0082574164118048,0,-0.0937493612289368,-0.000918558565839037,0,-0.0428133848711268,0.0415798369658552,0.0135802210181924,0.0101445419159313,0.0198529759225958,-0.0465147041261343,0.00888547369384411,0.296491275055664,-0.443210375630407,-0.182484425786519,-0.04693432167258,-0.064082286602527,0.015958
"10","2014-11-28",0.297863770664856,0.0183915993223973,1.39477124495192,-0.0405397071034398,0.0470936328360369,0,-0.0933015337228602,0,0.0171835911361077,-0.0689690716472526,-0.0229259732407787,-0.0468699730848433,-0.158007648613074,-0.0971324443855977,-0.0303828180766082,0,0.00761692167392233,-0.140882993899277,0,-0.0413574248344236,0.0321568411303686,-0.0647313018216217,0,-0.0754075036840922,-0.0456754347023355,-0.000183341747323537,0.095117412414806,-0.156660401809672,-0.073369154526851,0.00534569316472598,-0.0283116979564724,0.00941033188407999,-0.0155772640232916,-0.034289406775221,-0.0952860808908204,-0.080959469292745,-0.109400587372237,-0.0580305308218801,0.0180994378291885,-0.01286590720896,-0.0402923483034825,0,-0.00295619304892963,0.130522444967346,0,-0.141342938716813,0.000411669451800598,0.0529877909222672,0.0436127181702774,-0.0147816632910483,-0.0317326693180387,-0.00667714882321308,0.439852768279987,-0.0727004747593576,-0.330908365904886,0.552028300361207,-0.169368604262822,0.019724
"11","2014-12-31",0.295331680935059,-0.0608012013534271,0.436330822530013,0.0278228206964402,0.0643722925982977,0,0.0340473665955694,0,-0.0317202163872451,-0.0136881642586869,-0.0185352843467402,0.00486279270742,0.0195725641113783,-0.0989704967315381,0.00254477804728062,0,-0.0194931470388896,-0.0352370804928522,0,-0.0308272286439761,-0.0188963570306861,-0.0138070237576505,0,-0.00526444118345931,-0.010564777102014,0.0195225775669116,0.0402843082930292,-0.0602887360421421,-0.0522410464310289,0.0103909864852234,1.03109768054979e-05,0.051716460505815,-0.0885566402905753,-0.0638541823528648,-0.0462235599264215,-0.00893775956466592,0.037653889109416,-0.040878070148016,0.0207840123142942,-0.0331460256962341,0.062741950044391,-0.0388024577633647,-0.0168073115677073,0.0293001658251738,0,-0.0544168902972732,-0.00870049897493325,-0.00658419644514165,-0.0340314564919567,-0.011371299190836,-0.0449139845981788,0.00569751910762954,-0.047666754273533,-0.275178634405776,-0.0682974448086312,0.0311701261730117,0.120252934471595,0.022025
"12","2015-01-30",-0.0437033866333957,-0.00201804813568438,-0.0727934365919316,-0.00325746285999857,-0.0162723535497186,0,0.0301776781364937,0,0.026338528287866,0.020646972719891,-0.0131691590705036,0.000839584103857797,-6.38234400106918e-05,-0.00671444490956693,-0.0218117166473329,0,0.00989689117909898,0.0290053140164654,0,0.0162329835708108,0.0231171201304567,0.00337603921855977,0,-0.0176072420405692,0.0265725042808311,-0.0104532704903698,0.0219356836642493,-0.0380472984980622,-0.0294805392707187,-0.0169785545324078,0.000116514697261559,0.0577432001008775,-0.0244255612045671,0.0110916164618703,0.0269336390929225,0.0440126548076304,0.0192934523963029,-0.0100481995396407,-0.0225211917744214,-0.0215808013550597,-0.00574415292163122,0.0197256132181742,-0.0591427402532186,-0.0148473325098148,0,0.0199213395116085,0.00746289251501103,-0.0138141310953593,-0.00329198314338129,0.011036828287334,-0.020166874897766,-0.00493469170963878,0.010229458898775,-0.0205218047503494,0.132574498389525,-0.269615290062222,-0.0428961104680734,-0.013616
"13","2015-02-27",0.577272079913721,-0.0301934538421088,0.790924294269536,-0.0597336341496264,0.0039557704134618,0,-0.0308425713301235,0,-0.0355134052889524,-0.0399261686704159,-0.0439509891262639,-0.0289849514829176,-0.0396196011196349,-0.0768171317233145,0.0236158339516422,0,0.07479575999406,-0.0524670306556417,0,-0.0111507156488154,0.0261943906739122,0.0218769335137046,0,-0.0175884641888881,0.00212837416886626,-0.0339119257313256,-0.106232691884133,0.209817853588166,-0.00745908936452884,-0.208608891717924,-0.0400484512869931,0.0673155946438049,-0.0511643540011531,0.0345855080139241,-0.0183029927095875,-0.0199271155793027,-0.0621637914209969,0.0766471457794797,-0.0518193322140654,-0.103724745217399,-0.0821746405013433,-0.12324853608341,0.00825122628182853,0.13635114550265,0,-0.100885155856171,0.00444387773737335,-0.000814998542618519,0.00659810693334449,0.00471289658896614,-0.0130041552255968,0.0131049185032285,-0.119745654717783,-0.422398894595615,-0.0334348279962177,0.0447915476929549,0.197073716493064,0.001836
"14","2015-03-31",0.203936493272137,-0.101989013562076,0.498750943585089,0.0207903395631102,0.00205148859098761,0,0.0165504427527761,0,0.00669234713816825,-0.0121135224873532,-0.000542597802814982,-0.0212630046671821,0.0157010854088381,0.0666813128112162,-0.0213640108869331,0,-0.114335074644082,-0.0506834439832443,0,-0.17550314074286,0.126883002915254,-0.0864366202763168,0,-0.0091683998036015,0.00827982354911546,-0.00120495627336635,0.221121357288642,-0.0951097318238446,0.051499963636542,-0.0487954919343948,0.00511236637669913,-0.119669727455656,-0.0504107832558581,0.0424561509637813,0.0241400601927789,-0.027661788188267,-0.0837107023653006,-0.0929964070702469,0.014773455778933,-0.0327034459706322,0.0512977693113034,-0.064288422981379,-0.0191265205692192,0.0353310458816016,0,0.0209638509997916,-0.0333707293591865,0.0463808520672153,-0.0184310322543664,0.00844840400703489,-0.00149679274372741,0.03758841885149,0.0556098474837731,-0.188442317899788,-0.128915426763612,0.0278258918423155,-0.0310016578130033,-0.009044
"15","2015-04-30",0.0841493416098529,-0.0703696387580763,1.6430347574885,-0.0928471612850271,-0.0464388615977225,0,0.0149057906970799,0,-0.157448963308475,-0.0393601305081308,-0.0744181131093245,-0.098762467104375,-0.12473956660431,0.176084005512154,-0.010360374447813,0,0.0654449135322943,-0.0340176689494175,0,-0.0737253212141984,-0.0684434498434263,0.0550657190493529,0,-0.0565895967251196,-0.14286141262305,-0.0727217482890745,-0.0655864511706783,0.0380162812198568,-0.0776469168972397,-0.0973549374649626,-0.0593297331064141,-0.0712049634923158,0.139082602073051,-0.112831931492281,0.0112493530537816,-0.00991465706783154,-0.019399845207855,0.030883844880412,-0.106619070485978,-0.107846618820902,-0.0617699756638683,-0.0833905984741157,-0.00221137225336293,-0.0500738570116099,0,-0.0854818645295227,-0.00386322218855611,-0.00214274446199697,-0.0324529092644556,-0.0159661310913551,-0.0166882709362134,-0.00630035719247805,-0.178117498927175,0.210029659694042,-0.141604479488621,0.445373613879606,0.260038561218925,-0.005119
"16","2015-05-29",-0.211055635803892,0.0249536456756753,2.26613951168065,0.0125741250996158,0.0216151014175338,0,-0.216942387114986,0,-0.026364656572126,-0.0729018119187239,-0.0625903121739096,-0.07484670875515,-0.0595691152837651,0.0742869500365888,-0.13615666052042,0,0,-0.124068931399847,0,-0.0789701522566936,-0.166676891722648,-0.128684028067133,0,-0.0183252979710089,-0.0293525016753638,-0.0605805072065606,-0.154280940686596,-0.0325853572219551,-0.0501629346793709,-0.0666114288336574,-0.0850343301122288,0.14323375052241,-0.103969992413425,-0.11700548102569,-0.119545774908667,-0.0602187693425274,-0.144316136367403,-0.160937514606307,-0.0506203631466889,0,0.0739410818839942,-0.0955251257428718,-0.0195075364298243,-0.0580336819535379,0,-0.0423588362073836,-0.0283190561321377,0.0497331918091628,0.0145993018460534,-0.0471594925576427,-0.0473936503559878,-0.00512067132107719,-0.461838767073274,0.405282190457609,0.192809469611791,-0.183376735643717,-0.0750378560857724,0.001411
"17","2015-06-30",-0.313162383698267,0.154661148593848,-2.51225577376174,0.0242103362128149,0.068879836872281,0,0.129337590871997,0,0.0677363915852469,0.0728464080307722,0.0324690195226798,0.0669607790415148,-0.0883769402858393,0.243548182686617,0.0160130640300867,0,-0.212497725659166,0.0416906756790562,0,0.122212086531843,0.0952417354163053,0.0677936324713372,0,0.033737119378961,0.0431570194686536,0.0708584593814218,0.0510396079449645,0.208580873690438,0.0577160809867163,0.0330224430454666,0.114726064742887,0.050702928543997,0.0695516518005367,0.111777330310635,-0.0360372018667571,0.0638068951554122,0.0145030571396764,0.102937760120637,0.00411904541609744,0,0.0217813208159779,0.233259974104533,0.171496331874414,0.0700427449326165,0,0.118750045173055,-0.0168978110684761,-0.0192955666649322,0.0556944555818873,0.00209371726382738,-0.0436912890457365,0.00586712521061673,-0.0645941187927564,0.0718983392840482,0.500543183668865,-0.593677023612889,-0.0484117222174954,0.067147
"18","2015-07-31",-0.178153971754721,0.115158768762441,-1.20725466070257,0.108995038796691,0.0616908031974097,0,0.038629218005737,0,0.0700340123778811,0.0479436470849027,0.0190452821372904,0.00944437289456895,0.059934771339927,-0.0364114427223422,0.0230253495389864,0,-0.180922413100694,0.0850034708672626,0,0.155358329092691,0.0204621620123244,0.00557568096596823,0,0.0138593005722228,0.0255525650387274,0.0440645945992047,-0.0193743185083249,-0.0407299359013692,0.0701762649734492,0.0815104512816767,-0.0470662026316103,-0.00778099262764733,0.0912595087203538,0.0765123498199787,0.00340929179561169,-0.00672229406393115,-0.0324220849391205,0.0469322513912173,0.11745179837315,0,0,0.128996548541495,-0.0518984641870072,-0.0453383956539685,0,0.155895372857417,-0.0027393250447585,0.00791933780529348,0.0250915778775638,0.00422616120176318,-0.020660531517916,0.0411995863283939,-0.161864757433751,0.208069228513306,-0.110287270823343,0.0538164586209855,-0.0800942824614432,0.000337
"19","2015-08-31",-0.154752070551972,-0.00197933180779481,0.907218313329628,-0.0158943953004659,0.0126384300660641,0,-0.0392370522412613,0,-0.0204025178412063,-0.0162055559144626,-0.0928094035528117,-0.00736611202294298,-0.0165384141746609,-0.00356632443357769,0.0128698516193332,0,-0.0219932950647379,-0.0349313913323017,0,-0.413690056896457,-0.00343314492795175,-0.0683333968111855,0,0.0336230412964851,-0.0895433316418581,-0.0358022184701567,-0.0121707369655859,0.0256809682933622,-0.0335925311765207,0.0154874068241845,-0.0419685907465847,0.00897657554488866,-0.110496736715375,0.0132030873293059,0.0194078688861556,-0.00434843549612977,-0.00931995586020617,-0.00811423750790403,-0.0180363543438888,0,0,0.111928011498505,-0.0345392856385046,0,0,-0.00672074780337998,-0.0261795432182971,-0.0177663275549619,0.0416609217410834,0.0628556088079863,-0.0614210396723534,0.0157886124236521,0.0125871226560751,-0.0385273170989708,-0.0682997850323249,0.0713363369893175,0.0300363885262354,0.007256
