,ts_code,sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,weight,MVO,Min_TE
2019-01-31,600741,汽车制造,0.9000000000000021,37457.26477904242,1.6211972262109702,9.7219,6371655.1717,5.2,0.319,0.0,0.0
2019-01-31,600703,电子器件,-0.25,437920.61943266634,3.4003264086664235,12.6443,4000934.8544,2.55,0.24,0.0,0.0
2019-01-31,600674,电力行业,0.5800000000000001,25245.311239133956,1.0127712057020417,12.2704,4005947.8368,3.02,0.16,0.0,0.0
2019-01-31,600688,石油行业,-0.040000000000000036,13580.09977617215,0.5354976652369081,9.0939,3781667.7660000003,5.81,0.114,0.0,0.0
2019-01-31,600660,汽车制造,0.4200000000000017,23151.33339871308,1.0932012519541985,18.5313,4658946.2082,4.94,0.326,0.0,0.0
2019-01-31,600588,电子信息,-0.14000000000000057,82040.51862764596,2.349355205816958,118.7212,4581252.9594,0.47,0.231,0.0,0.0
2019-01-31,600585,水泥行业,1.9699999999999989,57015.639279230854,1.1665959393035197,10.8528,12987034.274,3.7,0.65,0.0,0.0
2019-01-31,600837,金融行业,0.3699999999999992,195210.22517339175,1.9750518879005157,13.4522,8156868.2294,2.28,0.8170000000000001,0.0,0.0
2019-01-31,601009,金融行业,0.40000000000000036,181866.02294803044,1.0953602978013792,6.1238,5920581.131,4.94,0.415,0.0,0.0
2019-01-31,601006,交通运输,0.2400000000000002,64584.2090584836,1.246858168918729,9.5218,12711106.7248,5.5,0.509,0.0,0.0
2019-01-31,600999,金融行业,0.27999999999999936,62772.99925156431,1.7567586505477173,16.685,7066230.9896,2.4,0.413,0.0,0.0
2019-01-31,600893,飞机制造,-0.3000000000000007,21979.601599251026,1.191130777570008,51.5592,4284998.41,0.59,0.198,0.0,0.0
2019-01-31,600887,食品行业,0.10999999999999943,107106.75774169157,1.2452688039132367,24.4912,14604222.2837,2.9,1.4709999999999999,0.0,0.0
2019-01-31,600583,石油行业,0.07000000000000028,36519.36941231968,1.3933959280385284,47.1798,2316789.9152,0.95,0.11599999999999999,0.0,0.0
2019-01-31,600362,有色金属,-0.13000000000000078,34583.781088549826,1.1368504563482746,28.6455,2753853.3064,1.51,0.138,0.0,0.0
2019-01-31,600352,化工行业,0.6799999999999997,75177.46120593573,1.05904629921178,13.0328,3224051.8733,2.52,0.258,0.0,0.0
2019-01-31,600340,房地产,1.2300000000000004,32687.98668347812,1.6571865117946962,9.3339,8064049.5689,3.24,0.49200000000000005,0.0,0.0
2019-01-31,600276,生物制药,1.6899999999999977,80618.60834030858,2.896579546533992,67.6637,21670931.7429,0.17,1.306,0.0,0.0
2019-01-31,600196,生物制药,0.4299999999999997,45950.23077360131,2.066207845371428,19.0558,4438141.1286,1.64,0.23399999999999999,0.0,0.0
2019-01-31,600372,飞机制造,-0.75,21206.1212362927,1.8356706632996935,43.4899,2359063.07,0.45,0.071,0.0,0.0
2019-01-31,600535,生物制药,-0.240000000000002,12728.059699716761,1.2179234799030993,19.8239,2728849.8771,1.58,0.16399999999999998,0.0,0.0
2019-01-31,600519,酿酒行业,30.350000000000023,10878.814689959368,1.8418327186458554,31.9902,86627400.28799999,1.6,3.469,0.0756791283792745,0.0378782618099612
2019-01-31,600489,有色金属,-0.3100000000000005,105550.26203561701,1.6570227385281457,93.9607,2736751.7909,0.38,0.13699999999999998,0.0,0.0
2019-01-31,600415,商业百货,-0.15000000000000036,76750.10226947574,1.904217533863838,13.3902,1954113.8892,2.26,0.098,0.0,0.0
2019-01-31,600383,房地产,0.8100000000000005,101112.52167804335,1.780738076079466,7.2311,4947983.5949,4.84,0.248,0.0,0.0
2019-01-31,600208,房地产,-0.040000000000000036,50088.60831042878,0.7792055113217874,7.3260000000000005,2433282.6536,2.01,0.122,0.0,0.0
2019-01-31,601933,商业百货,-0.07000000000000028,76810.86205550614,0.9010831233988557,42.4583,6422442.8007,1.83,0.309,0.0,0.0
2019-01-31,601901,金融行业,-0.3700000000000001,646485.8786285424,4.060104740262161,34.6744,5038046.0537,0.16,0.252,0.0,0.0
2019-01-31,601899,有色金属,-0.020000000000000018,295115.675619188,0.7897940038226462,19.5663,5028966.2994,3.02,0.361,0.0,0.0
2019-01-31,601939,金融行业,0.6200000000000001,297075.01670138235,1.1477714123898126,7.2961,6782715.9274,4.1160000000000005,0.475,0.0,0.0
2019-01-31,601857,石油行业,0.010000000000000675,77575.85409787262,0.5496997885202374,58.7774,118526960.9628,2.0429,0.593,0.0,0.0263038544087409
2019-01-31,601818,金融行业,0.18999999999999995,180791.0018770055,1.1879899836590444,6.8056,16282506.7103,4.43,0.652,0.0,0.0
2019-01-31,601988,金融行业,0.15000000000000036,266112.153963933,0.6144634330856185,6.2837,77561709.4633,4.78,0.7759999999999999,0.0112825015523246,0.0292779354039981
2019-01-31,600188,煤炭行业,-0.16000000000000014,87780.73120020055,1.2534017026074487,6.4133,2616533.478,5.43,0.079,0.0,0.0
2019-01-31,603993,NaN,0.020000000000000018,254462.7514581187,1.205306305664277,30.4059,6783656.6719,1.98,0.272,0.0,0.0
2019-01-31,601998,金融行业,0.2599999999999998,110076.47060610828,0.8626218684187591,6.5758,18249753.8406,4.56,0.175,0.0,0.0
2019-01-31,601800,建筑建材,-0.2599999999999998,69069.0001854881,1.2152583155338892,8.3543,12487311.2568,2.28,0.25,0.0,0.0
2019-01-31,601186,建筑建材,-0.6699999999999999,251493.72025419693,1.5685921432607022,8.5331,11606774.7095,1.78,0.465,0.0,0.0
2019-01-31,601169,金融行业,0.2599999999999998,67067.28881583501,0.722757018574894,6.7379999999999995,10894062.4607,4.47,0.885,0.0,0.0
2019-01-31,601166,金融行业,1.049999999999999,136777.41493448504,1.0183490439305145,5.9562,31245832.2716,3.96,2.046,0.0,0.32657094912596396
2019-01-31,601111,交通运输,0.1800000000000015,129922.60285645345,1.6072945913783376,16.4701,7757344.1155,1.4,0.24600000000000002,0.0,0.0
2019-01-31,601288,金融行业,0.1900000000000004,579443.7383298915,0.7969616988753233,6.7471,109388569.3323,4.45,1.4269999999999998,0.12116389753852401,0.0341586900702116
2019-01-31,601318,金融行业,4.25,183630.36081441195,1.2857887756059145,12.9231,68224121.0084,2.89,6.83,0.0507227917251597,0.0756573538565552
2019-01-31,601333,交通运输,0.06000000000000005,96066.0673972911,1.2675675543631197,24.4173,1978282.95,2.29,0.11900000000000001,0.0,0.0
2019-01-31,601688,金融行业,1.120000000000001,172488.30314775946,1.9678694889142223,17.0251,10419286.0517,1.57,0.626,0.0,0.0
2019-01-31,601668,建筑建材,0.41999999999999993,339879.659776724,1.4929997096112397,7.8001,25106978.4821,2.51,1.286,0.0,0.0
2019-01-31,601628,金融行业,1.6800000000000033,40355.8867398073,1.540270872443965,19.9456,47394354.28,1.76,0.38,0.0,0.0
2019-01-31,601607,商业百货,-0.379999999999999,25798.802769855014,1.4837588919613227,12.9969,3095925.3789999997,2.36,0.18600000000000003,0.0,0.0
2019-01-31,601601,金融行业,1.9499999999999993,57768.41149603514,1.9634312367064304,19.0486,19375609.4,2.5957,0.97,0.0,0.0
2019-01-31,601398,金融行业,0.41000000000000014,476683.83887875004,0.9608556015339836,7.0521,152600512.2971,4.25,1.222,0.29029913865675,0.0346583195986983
2019-01-31,601328,金融行业,0.33999999999999986,167551.2764177118,0.9175929905323902,6.6095,24531790.0094,4.57,1.719,0.0,0.0342385996121896
2019-01-31,600177,服装鞋类,0.23000000000000043,27209.672900986705,0.9721646035904472,91.8501,2725481.4356,5.26,0.191,0.0,0.0
2019-01-31,600170,建筑建材,0.10000000000000009,77525.84513630572,0.8337827986949756,10.9562,2698837.3574,4.25,0.142,0.0,0.0
2019-01-31,600029,交通运输,-0.009999999999999787,119073.64128838117,1.6105905848784752,14.7687,5000126.8,1.16,0.245,0.0,0.0
2019-01-31,600028,石油行业,0.3700000000000001,405378.54109564103,1.0113605749677732,13.571,54754602.8094,9.7731,0.713,0.0337423001557759,0.0252601962193526
2019-01-31,600016,金融行业,0.1900000000000004,213241.94249267373,0.6870925574289741,5.2297,21099963.3117,1.26,1.479,0.0,0.0
2019-01-31,600015,金融行业,0.16999999999999993,71940.93311333128,0.7754768146753735,5.8773,9706773.7963,1.66,0.466,0.0,0.0
2019-01-31,600010,钢铁行业,-0.06000000000000005,588859.9515721619,1.0939053083330377,32.5093,4656550.1033,0.34,0.268,0.0,0.0
2019-01-31,600009,交通运输,1.6499999999999986,29742.73276088327,1.8637125066918185,25.7911,5390838.6372,1.18,0.47600000000000003,0.0,0.0
2019-01-31,600000,金融行业,0.5600000000000005,43918.21762131957,0.9653037534369775,5.8046,30155338.6636,0.932,1.261,0.0,0.0
2019-01-31,600030,金融行业,0.7000000000000028,404729.82117625745,1.7195425886771245,19.3518,17921572.2642,2.19,1.439,0.0,0.0
2019-01-31,600031,机械行业,0.5899999999999999,114220.99184273825,1.0079393609112446,34.0091,7081207.6141,1.7495,0.498,0.0,0.0
2019-01-31,600118,飞机制造,-0.5999999999999979,49528.79493761831,1.7911581254594082,51.3874,2104830.6603,0.62,0.105,0.0,0.0
2019-01-31,600115,交通运输,0.0,107328.74527804702,1.1314569913496977,11.4565,4933668.298,1.01,0.198,0.0,0.0
2019-01-31,600111,有色金属,-0.35999999999999943,73176.24833381544,1.332931972532418,77.3983,3106271.43,0.41,0.187,0.0,0.0
2019-01-31,600109,金融行业,-0.17999999999999972,127410.26022526788,2.074482775169309,19.1818,2304561.7942,0.66,0.185,0.0,0.0
2019-01-31,600104,汽车制造,1.5700000000000003,130707.88203807846,1.6520558410959556,9.0316,30599131.3996,6.88,0.9329999999999999,0.41711024199134605,0.334900673202812
2019-01-31,600089,发电设备,-0.14000000000000057,214823.17899085273,1.5453533914526782,11.8755,2607447.5779,2.99,0.261,0.0,0.0
2019-01-31,600085,生物制药,-0.030000000000001137,15458.510328637913,0.996228300842426,35.5613,3617938.5512,0.95,0.145,0.0,0.0
2019-01-31,600068,建筑建材,-0.16000000000000014,71296.35746176842,1.0400076154044597,6.0662,2841147.6632,4.34,0.171,0.0,0.0
2019-01-31,600066,汽车制造,-0.5700000000000003,29205.910228241613,1.2104765109655151,8.1859,2561527.681,4.32,0.154,0.0,0.0
2019-01-31,600048,房地产,1.1100000000000012,188223.79894962892,1.4951739057629985,9.8048,15163532.5211,3.1,0.92,0.0,0.0
2019-01-31,600036,金融行业,2.740000000000002,132089.4245246411,1.3994704675248446,10.5014,60257146.6771,2.88,3.016,0.0,0.0410951666915158
